車両ID,販売会社コード,車両名称,車種区分,登録完了日,新中区分コード
V01403,S017,ノア S-Z,ミニバン,2026/03/03,1
V01404,S017,アクア Z,コンパクト,2026/03/11,1
V01405,S017,ヴォクシー S-Z,ミニバン,2026/03/15,1
V01406,S001,ランドクルーザー 300,SUV,2026/04/07,1
V01407,S001,ヤリス G,コンパクト,2026/04/11,1
V01408,S001,クラウン クロスオーバー,セダン,2026/04/19,1
V01409,S001,ハリアー Z,SUV,2026/04/18,1
V01410,S001,シエンタ G,ミニバン,2026/04/26,1
V01411,S001,カローラ WXB,セダン,2026/04/06,1
V01412,S002,ノア S-Z,ミニバン,2026/04/04,1
V01413,S002,アクア Z,コンパクト,2026/04/08,1
V01414,S002,ヴォクシー S-Z,ミニバン,2026/04/16,1
V01415,S002,アルファード 2.5S,ミニバン,2026/04/20,1
V01416,S003,ランドクルーザー 300,SUV,2026/04/05,1
V01417,S003,ヤリス G,コンパクト,2026/04/13,1
V01418,S003,クラウン クロスオーバー,セダン,2026/04/17,1
V01419,S003,ハリアー Z,SUV,2026/04/20,1
V01420,S003,シエンタ G,ミニバン,2026/04/24,1
V01421,S004,RAV4 Adventure,SUV,2026/04/10,1
V01422,S004,ノア S-Z,ミニバン,2026/04/14,1
V01423,S004,アクア Z,コンパクト,2026/04/22,1
V01424,S004,ヴォクシー S-Z,ミニバン,2026/04/21,1
V01425,S004,アルファード 2.5S,ミニバン,2026/04/05,1
V01426,S005,ランドクルーザー 300,SUV,2026/04/07,1
V01427,S005,ヤリス G,コンパクト,2026/04/11,1
V01428,S005,クラウン クロスオーバー,セダン,2026/04/19,1
V01429,S005,ハリアー Z,SUV,2026/04/23,1
V01430,S005,シエンタ G,ミニバン,2026/04/26,1
V01431,S005,カローラ WXB,セダン,2026/04/06,1
V01432,S006,ノア S-Z,ミニバン,2026/04/08,1
V01433,S006,アクア Z,コンパクト,2026/04/16,1
V01434,S006,ヴォクシー S-Z,ミニバン,2026/04/20,1
V01435,S006,アルファード 2.5S,ミニバン,2026/04/23,1
V01436,S006,プリウス Z,セダン,2026/04/27,1
V01437,S006,ランドクルーザー 300,SUV,2026/04/11,1
V01438,S006,ヤリス G,コンパクト,2026/04/15,1
V01439,S007,ハリアー Z,SUV,2026/04/13,1
V01440,S007,シエンタ G,ミニバン,2026/04/17,1
V01441,S007,カローラ WXB,セダン,2026/04/25,1
V01442,S007,RAV4 Adventure,SUV,2026/04/24,1
V01443,S008,アクア Z,コンパクト,2026/04/10,1
V01444,S008,ヴォクシー S-Z,ミニバン,2026/04/14,1
V01445,S008,アルファード 2.5S,ミニバン,2026/04/22,1
V01446,S008,プリウス Z,セダン,2026/04/26,1
V01447,S008,ランドクルーザー 300,SUV,2026/04/05,1
V01448,S009,クラウン クロスオーバー,セダン,2026/04/11,1
V01449,S009,ハリアー Z,SUV,2026/04/19,1
V01450,S009,シエンタ G,ミニバン,2026/04/23,1
V01451,S009,カローラ WXB,セダン,2026/04/26,1
V01452,S009,RAV4 Adventure,SUV,2026/04/06,1
V01453,S010,アクア Z,コンパクト,2026/04/16,1
V01454,S010,ヴォクシー S-Z,ミニバン,2026/04/20,1
V01455,S010,アルファード 2.5S,ミニバン,2026/04/28,1
V01456,S010,プリウス Z,セダン,2026/04/03,1
V01457,S010,ランドクルーザー 300,SUV,2026/04/11,1
V01458,S010,ヤリス G,コンパクト,2026/04/15,1
V01459,S017,ハリアー Z,SUV,2026/04/13,1
V01460,S017,シエンタ G,ミニバン,2026/04/17,1
V01461,S017,カローラ WXB,セダン,2026/04/25,1
V01462,S017,RAV4 Adventure,SUV,2026/04/29,1
V01463,S017,ノア S-Z,ミニバン,2026/04/08,1
V01464,S017,アクア Z,コンパクト,2026/04/12,1
V01465,S017,ヴォクシー S-Z,ミニバン,2026/04/20,1
V01466,S001,ランドクルーザー 300,SUV,2026/05/04,1
V01467,S001,ヤリス G,コンパクト,2026/05/08,1
V01468,S001,クラウン クロスオーバー,セダン,2026/05/16,1
V01469,S001,ハリアー Z,SUV,2026/05/20,1
V01470,S002,カローラ WXB,セダン,2026/05/05,1
V01471,S002,RAV4 Adventure,SUV,2026/05/13,1
V01472,S002,ノア S-Z,ミニバン,2026/05/17,1
V01473,S002,アクア Z,コンパクト,2026/05/20,1
V01474,S002,ヴォクシー S-Z,ミニバン,2026/05/24,1
V01475,S003,プリウス Z,セダン,2026/05/10,1
V01476,S003,ランドクルーザー 300,SUV,2026/05/14,1
V01477,S003,ヤリス G,コンパクト,2026/05/22,1
V01478,S003,クラウン クロスオーバー,セダン,2026/05/21,1
V01479,S003,ハリアー Z,SUV,2026/05/05,1
V01480,S004,カローラ WXB,セダン,2026/05/07,1
V01481,S004,RAV4 Adventure,SUV,2026/05/11,1
V01482,S004,ノア S-Z,ミニバン,2026/05/19,1
V01483,S004,アクア Z,コンパクト,2026/05/23,1
V01484,S004,ヴォクシー S-Z,ミニバン,2026/05/26,1
V01485,S004,アルファード 2.5S,ミニバン,2026/05/06,1
V01486,S005,ランドクルーザー 300,SUV,2026/05/08,1
V01487,S005,ヤリス G,コンパクト,2026/05/16,1
V01488,S005,クラウン クロスオーバー,セダン,2026/05/20,1
V01489,S005,ハリアー Z,SUV,2026/05/23,1
V01490,S005,シエンタ G,ミニバン,2026/05/27,1
V01491,S005,カローラ WXB,セダン,2026/05/11,1
V01492,S005,RAV4 Adventure,SUV,2026/05/15,1
V01493,S006,アクア Z,コンパクト,2026/05/13,1
V01494,S006,ヴォクシー S-Z,ミニバン,2026/05/17,1
V01495,S006,アルファード 2.5S,ミニバン,2026/05/25,1
V01496,S006,プリウス Z,セダン,2026/05/24,1
V01497,S007,ヤリス G,コンパクト,2026/05/10,1
V01498,S007,クラウン クロスオーバー,セダン,2026/05/14,1
V01499,S007,ハリアー Z,SUV,2026/05/22,1
V01500,S007,シエンタ G,ミニバン,2026/05/26,1
V01501,S007,カローラ WXB,セダン,2026/05/05,1
V01502,S008,ノア S-Z,ミニバン,2026/05/11,1
V01503,S008,アクア Z,コンパクト,2026/05/19,1
V01504,S008,ヴォクシー S-Z,ミニバン,2026/05/23,1
V01505,S008,アルファード 2.5S,ミニバン,2026/05/26,1
V01506,S008,プリウス Z,セダン,2026/05/06,1
V01507,S009,ヤリス G,コンパクト,2026/05/16,1
V01508,S009,クラウン クロスオーバー,セダン,2026/05/20,1
V01509,S009,ハリアー Z,SUV,2026/05/28,1
V01510,S009,シエンタ G,ミニバン,2026/05/03,1
V01511,S009,カローラ WXB,セダン,2026/05/11,1
V01512,S009,RAV4 Adventure,SUV,2026/05/15,1
V01513,S010,アクア Z,コンパクト,2026/05/13,1
V01514,S010,ヴォクシー S-Z,ミニバン,2026/05/17,1
V01515,S010,アルファード 2.5S,ミニバン,2026/05/25,1
V01516,S010,プリウス Z,セダン,2026/05/29,1
V01517,S010,ランドクルーザー 300,SUV,2026/05/08,1
V01518,S010,ヤリス G,コンパクト,2026/05/12,1
V01519,S010,クラウン クロスオーバー,セダン,2026/05/20,1
V01520,S017,シエンタ G,ミニバン,2026/05/14,1
V01521,S017,カローラ WXB,セダン,2026/05/22,1
V01522,S017,RAV4 Adventure,SUV,2026/05/26,1
V01523,S017,ノア S-Z,ミニバン,2026/05/05,1
